hex_color,r_component,g_component,b_component,munsell_notation,expected_iscc_nbs_name,actual_iscc_nbs_descriptor,match_status,notes
#301934,48,25,52,4.7PB 1.2/2.8,very dark purple,dark blue,MISMATCH,Word count difference: 3 vs 2 words
#d6cadd,214,202,221,2.8P 8.4/1.7,very pale purple,very pale purple,EXACT_MATCH,Perfect classification match
#aa98a9,170,152,169,10P 6.4/1.7,pale purple,pale purple,EXACT_MATCH,Perfect classification match
#796878,121,104,120,9.6P 4.5/1.8,grayish purple,grayish purple,EXACT_MATCH,Perfect classification match
#50404d,80,64,77,9.4PB 2.9/1.2,dark grayish purple,dark purplish gray,MISMATCH,Word differences: pos1: grayish vs purplish, pos2: purple vs gray
#291e29,41,30,41,6.7PB 1.2/1.3,blackish purple,blackish blue,MISMATCH,Word differences: pos1: purple vs blue
#e8e3e5,232,227,229,6.4GY 9.2/1.1,purplish white,greenish white,MISMATCH,Word differences: pos0: purplish vs greenish
#bfb9bd,191,185,189,6.5GY 7.5/1.0,light purplish gray,light greenish gray,MISMATCH,Word differences: pos1: purplish vs greenish
#8b8589,139,133,137,5.3GY 5.5/0.8,purplish gray,greenish gray,MISMATCH,Word differences: pos0: purplish vs greenish
#5d555b,93,85,91,7.2GY 3.8/0.5,dark purplish gray,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#242124,36,33,36,6.7PB 1.2/0.3,purplish black,black,MISMATCH,Word count difference: 2 vs 1 words
#870074,135,0,116,1.1RP 3.1/13.4,vivid reddish purple,vivid reddish purple,EXACT_MATCH,Perfect classification match
#9e4f88,158,79,136,1.2RP 4.4/8.8,strong reddish purple,moderate reddish purple,MISMATCH,Word differences: pos0: strong vs moderate
#702963,112,41,99,2RP 3.0/9.1,deep reddish purple,deep reddish purple,EXACT_MATCH,Perfect classification match
#54194e,84,25,78,8.6PB 1.8/4.4,very deep reddish purple,dark purplish blue,MISMATCH,Word count difference: 4 vs 3 words
#b784a7,183,132,167,2.3RP 6.0/5.5,light reddish purple,light reddish purple,EXACT_MATCH,Perfect classification match
#915c83,145,92,131,2.4RP 4.5/5.8,moderate reddish purple,moderate reddish purple,EXACT_MATCH,Perfect classification match
#5d3954,93,57,84,1.1P 2.9/2.9,dark reddish purple,dark grayish purple,MISMATCH,Word differences: pos1: reddish vs grayish
#341731,52,23,49,8.4PB 1.2/2.7,very dark reddish purple,dark purplish blue,MISMATCH,Word count difference: 4 vs 3 words
#aa8a9e,170,138,158,3.7RP 6.0/2.7,pale reddish purple,pale purple,MISMATCH,Word count difference: 3 vs 2 words
#836479,131,100,121,2.1RP 4.5/2.4,grayish reddish purple,grayish purple,MISMATCH,Word count difference: 3 vs 2 words
#ffc8d6,255,200,214,1.6R 8.6/4.1,brilliant purplish pink,light pink,MISMATCH,Word count difference: 3 vs 2 words
#e68fac,230,143,172,6.8RP 6.9/8.1,strong purplish pink,moderate purplish pink,MISMATCH,Word differences: pos0: strong vs moderate
#de6fa1,222,111,161,5.4RP 6.0/11.2,deep purplish pink,deep purplish pink,EXACT_MATCH,Perfect classification match
#efbbcc,239,187,204,8.7RP 8.1/4.4,light purplish pink,pale purplish pink,MISMATCH,Word differences: pos0: light vs pale
#d597ae,213,151,174,7.4RP 6.9/5.7,moderate purplish pink,moderate purplish pink,EXACT_MATCH,Perfect classification match
#c17e91,193,126,145,9.6RP 5.9/5.9,dark purplish pink,dark purplish pink,EXACT_MATCH,Perfect classification match
#e8ccd7,232,204,215,9.1RP 8.6/2.6,pale purplish pink,pale pink,MISMATCH,Word count difference: 3 vs 2 words
#c3a6b1,195,166,177,8.7RP 7.1/3.0,grayish purplish pink,grayish purplish pink,EXACT_MATCH,Perfect classification match
#ce4676,206,70,118,8.5RP 4.9/12.3,vivid purplish red,strong purplish red,MISMATCH,Word differences: pos0: vivid vs strong
#b3446c,179,68,108,8.6RP 4.5/10.2,strong purplish red,moderate purplish red,MISMATCH,Word differences: pos0: strong vs moderate
#78184a,120,24,74,6.9RP 2.7/9.8,deep purplish red,deep purplish red,EXACT_MATCH,Perfect classification match
#54133b,84,19,59,7P 1.7/4.1,very deep purplish red,very dark purple,MISMATCH,Word count difference: 4 vs 3 words
#a8516e,168,81,110,8.3RP 4.5/8.6,moderate purplish red,moderate purplish red,EXACT_MATCH,Perfect classification match
#673147,103,49,71,7.9RP 2.8/5.6,dark purplish red,dark purplish red,EXACT_MATCH,Perfect classification match
#38152c,56,21,44,4.3P 1.2/2.6,very dark purplish red,very dark purple,MISMATCH,Word count difference: 4 vs 3 words
#af868e,175,134,142,2.6R 5.9/3.8,light grayish purplish red,light grayish red,MISMATCH,Word count difference: 4 vs 3 words
#915f6d,145,95,109,8.4RP 4.5/4.7,grayish purplish red,grayish purplish red,EXACT_MATCH,Perfect classification match
#f2f3f4,242,243,244,7.5GY 9.6/1.5,white,pale yellow green,MISMATCH,Word count difference: 1 vs 3 words
#b9b8b5,185,184,181,4.7GY 7.4/0.9,light gray,light greenish gray,MISMATCH,Word count difference: 2 vs 3 words
#848482,132,132,130,7.2GY 5.4/0.7,medium gray,greenish gray,MISMATCH,Word differences: pos0: medium vs greenish
#555555,85,85,85,7.2GY 3.6/0.5,dark gray,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#222222,34,34,34,6.3GY 1.3/0.4,black,black,EXACT_MATCH,Perfect classification match
